Fund Code,Date,Asset Class,Name of Investment/Institution/Issuer/Fund Manager,Security Identifier,Units Held,Value (AUD),Weighting (%),Currency
EICLIO,31 Dec 2022,International Shares (Listed equity),PAYPAL HOLDINGS INC,US70450Y1038,"4,700.0000","493,583",0.0967,
EICLIO,31 Dec 2022,International Shares (Listed equity),PEARSON ORD 25P,GB0006776081,"7,771.0000","129,469",0.0254,
EICLIO,31 Dec 2022,International Shares (Listed equity),POWER CORPORATION OF CANADA,CA7392391016,"33,012.0000","1,144,279",0.2242,
EICLIO,31 Dec 2022,International Shares (Listed equity),PRINCIPAL FINANCIAL GROUP,US74251V1026,"8,597.0000","1,063,893",0.2085,
EICLIO,31 Dec 2022,International Shares (Listed equity),PROLOGIS INC,US74340W1036,"5,154.0000","856,749",0.1679,
EICLIO,31 Dec 2022,International Shares (Listed equity),PRUDENTIAL FINANCIAL INC,US7443201022,"13,103.0000","1,921,794",0.3766,
EICLIO,31 Dec 2022,International Shares (Listed equity),RANDSTAD NV,NL0000379121,"4,842.0000","434,078",0.0851,
EICLIO,31 Dec 2022,International Shares (Listed equity),RECRUIT HOLDINGS CO LTD,JP3970300004,"5,557.0000","259,409",0.0508,
EICLIO,31 Dec 2022,International Shares (Listed equity),RED ELECTRICA CORPORACION SA,ES0173093024,"21,945.0000","561,554",0.1100,
EICLIO,31 Dec 2022,International Shares (Listed equity),RELX PLC,GB00B2B0DG97,"20,504.0000","832,162",0.1631,
EICLIO,31 Dec 2022,International Shares (Listed equity),ROBERT HALF INTERNATIONAL INC,US7703231032,"3,331.0000","362,635",0.0711,
EICLIO,31 Dec 2022,International Shares (Listed equity),ROGERS COMMUNICATIONS INC     COM STK CLASS 'B',CA7751092007,"11,017.0000","759,768",0.1489,
EICLIO,31 Dec 2022,International Shares (Listed equity),S&P GLOBAL INC,US78409V1044,"2,319.0000","1,145,545",0.2245,
EICLIO,31 Dec 2022,International Shares (Listed equity),SALESFORCE INC,US79466L3024,"4,003.0000","782,570",0.1533,
EICLIO,31 Dec 2022,International Shares (Listed equity),SAP SE NPV,DE0007164600,"3,451.0000","523,543",0.1026,
EICLIO,31 Dec 2022,International Shares (Listed equity),SBA COMMUNICATIONS CORP-CL A,US78410G1040,"1,040.0000","430,064",0.0843,
EICLIO,31 Dec 2022,International Shares (Listed equity),SCHRODERS PLC,GB00BP9LHF23,"42,078.0000","325,417",0.0638,
EICLIO,31 Dec 2022,International Shares (Listed equity),SERVICENOW INC,US81762P1021,961.0000,"550,442",0.1079,
EICLIO,31 Dec 2022,International Shares (Listed equity),SGS SA CHF 20-0,CH0002497458,157.0000,"537,537",0.1053,
EICLIO,31 Dec 2022,International Shares (Listed equity),SHAW COMMUNICATIONS INC - B,CA82028K2002,"13,725.0000","582,694",0.1142,
EICLIO,31 Dec 2022,International Shares (Listed equity),SHOPIFY INC - CLASS A,CA82509L1076,"2,935.0000","150,242",0.0294,
EICLIO,31 Dec 2022,International Shares (Listed equity),SIRIUS XM HOLDINGS INC,US82968B1035,"110,403.0000","950,754",0.1863,
EICLIO,31 Dec 2022,International Shares (Listed equity),SKANDINAVISKA ENSKILDA BANKEN AB SERIES A SEK10,SE0000148884,"23,540.0000","399,609",0.0783,
EICLIO,31 Dec 2022,International Shares (Listed equity),SKYWORKS SOLUTIONS INC,US83088M1027,"2,462.0000","330,829",0.0648,
EICLIO,31 Dec 2022,International Shares (Listed equity),SMITH & NEPHEW PLC 12 2/9P,GB0009223206,"9,264.0000","182,311",0.0357,
EICLIO,31 Dec 2022,International Shares (Listed equity),SOFTBANK GROUP CORP,JP3436100006,"8,202.0000","517,379",0.1014,
EICLIO,31 Dec 2022,International Shares (Listed equity),SPLUNK INC,US8486371045,828.0000,"105,115",0.0206,
EICLIO,31 Dec 2022,International Shares (Listed equity),SS AND C TECHNOLOGIES HOLDINGS,US78467J1007,"7,256.0000","557,031",0.1092,
EICLIO,31 Dec 2022,International Shares (Listed equity),STMICROELECTRONICS,NL0000226223,"1,913.0000","99,338",0.0195,
EICLIO,31 Dec 2022,International Shares (Listed equity),SUN HUNG KAI PROPERTIES LIMITED,HK0016000132,"52,966.0000","1,068,734",0.2094,
EICLIO,31 Dec 2022,International Shares (Listed equity),SUN LIFE FINANCIAL INC OF CANADA F/PAID ORD SHARES,CA8667961053,"27,939.0000","1,911,029",0.3745,
EICLIO,31 Dec 2022,International Shares (Listed equity),SWIRE PROPERTIES LTD,HK0000063609,"234,726.0000","879,847",0.1724,
EICLIO,31 Dec 2022,International Shares (Listed equity),SWISS REINSURANCE CO LIMITED,CH0126881561,"5,736.0000","790,654",0.1549,
EICLIO,31 Dec 2022,International Shares (Listed equity),SWISSCOM AG REG CHF 1-0,CH0008742519,"1,462.0000","1,180,492",0.2313,
EICLIO,31 Dec 2022,International Shares (Listed equity),SYNOPSYS INC,US8716071076,"1,438.0000","676,925",0.1326,
EICLIO,31 Dec 2022,International Shares (Listed equity),SYSMEX CORPORATION,JP3351100007,"1,990.0000","177,899",0.0349,
EICLIO,31 Dec 2022,International Shares (Listed equity),T-MOBILE US INC,US8725901040,"6,932.0000","1,430,981",0.2804,
EICLIO,31 Dec 2022,International Shares (Listed equity),TELEFONAKTIEBOLAGET LM ERICSSON - B SHS,SE0000108656,"9,413.0000","81,129",0.0159,
EICLIO,31 Dec 2022,International Shares (Listed equity),TELEFONICA DEUTSCHLAND HOLDING AG,DE000A1J5RX9,"89,684.0000","325,048",0.0637,
EICLIO,31 Dec 2022,International Shares (Listed equity),TELEFONICA SA,ES0178430E18,"140,529.0000","748,627",0.1467,
EICLIO,31 Dec 2022,International Shares (Listed equity),TELENOR AS,NO0010063308,"28,647.0000","392,801",0.0770,
EICLIO,31 Dec 2022,International Shares (Listed equity),TELIA COMPANY AB,SE0000667925,"91,503.0000","345,240",0.0677,
EICLIO,31 Dec 2022,International Shares (Listed equity),TESLA INC,US88160R1014,"6,744.0000","1,225,052",0.2401,
EICLIO,31 Dec 2022,International Shares (Listed equity),THE BANK OF NEW YORK MELLON CORPORATION,US0640581007,"18,272.0000","1,226,473",0.2403,
EICLIO,31 Dec 2022,International Shares (Listed equity),THE SAGE GROUP PLC,GB00B8C3BL03,"22,959.0000","303,641",0.0595,
EICLIO,31 Dec 2022,International Shares (Listed equity),TRYG A/S,DK0060636678,"23,736.0000","830,577",0.1628,
EICLIO,31 Dec 2022,International Shares (Listed equity),UDR INC,US9026531049,"12,513.0000","714,648",0.1400,
EICLIO,31 Dec 2022,International Shares (Listed equity),UNITED UTILITIES GROUP PLC,GB00B39J2M42,"19,708.0000","346,577",0.0679,
EICLIO,31 Dec 2022,International Shares (Listed equity),VAIL RESORTS INCORPORATED,US91879Q1094,"1,863.0000","654,727",0.1283,
EICLIO,31 Dec 2022,International Shares (Listed equity),VEOLIA ENVIRONNEMENT,FR0000124141,"7,793.0000","294,353",0.0577,
EICLIO,31 Dec 2022,International Shares (Listed equity),VERBUND AG,AT0000746409,"1,420.0000","175,738",0.0344,
EICLIO,31 Dec 2022,International Shares (Listed equity),VERISK ANALYTICS INC,US92345Y1064,"4,129.0000","1,074,097",0.2105,
EICLIO,31 Dec 2022,International Shares (Listed equity),VESTAS WIND SYSTEMS A/S,DK0061539921,"7,496.0000","320,605",0.0628,
EICLIO,31 Dec 2022,International Shares (Listed equity),VISA INCORPORATED CLASS A SHARES,US92826C8394,"6,383.0000","1,955,434",0.3832,
EICLIO,31 Dec 2022,International Shares (Listed equity),VMWARE INC,US9285634021,"4,796.0000","868,186",0.1701,
EICLIO,31 Dec 2022,International Shares (Listed equity),WARNER BROS DISCOVERY INC,US9344231041,"8,995.0000","125,741",0.0246,
EICLIO,31 Dec 2022,International Shares (Listed equity),WATERS CORP,US9418481035,"2,107.0000","1,064,255",0.2085,
EICLIO,31 Dec 2022,International Shares (Listed equity),WELLTOWER INC REITS,US95040Q1040,"4,525.0000","437,361",0.0857,
EICLIO,31 Dec 2022,International Shares (Listed equity),WEST JAPAN RAILWAY CO JPY50000,JP3659000008,"13,810.0000","884,235",0.1733,
EICLIO,31 Dec 2022,International Shares (Listed equity),WOLTER KLUWER NV,NL0000395903,"2,825.0000","434,621",0.0852,
EICLIO,31 Dec 2022,International Shares (Listed equity),WORKDAY INC,US98138H1014,"1,315.0000","324,347",0.0636,
EICLIO,31 Dec 2022,International Shares (Listed equity),XYLEM INC-W/I,US98419M1009,"7,072.0000","1,153,137",0.2260,
EICLIO,31 Dec 2022,International Shares (Listed equity),YASKAWA ELECTRIC MANUFACTURING,JP3932000007,"8,346.0000","394,069",0.0772,
EICLIO,31 Dec 2022,International Shares (Listed equity),ZURICH INSURANCE GROUP AG,CH0011075394,"2,563.0000","1,806,616",0.3540,
EICLIO,31 Dec 2022,International Shares (Listed equity),Total,,,"175,880,333",34.4648,
EICLIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",AUSTRALIAN UNITY,,,"438,038",0.0858,
EICLIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",DEXUS,,,"8,031,727",1.5739,
EICLIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",INVESTA PROPERTY GROUP,,,"7,597,655",1.4888,
EICLIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MIRVAC WHOLESALE OFFICE FUND - STAPLED,,,"923,980",0.1811,
EICLIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BRIGHTLIGHT REAL ESTATE IMPACT FUND,,,"1,815,604",0.3558,
EICLIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",DEXUS WHOLESALE PROPERTY FUND,,,"3,623,389",0.7100,
EICLIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",GPT WHOLESALE OFFICE FUND,,,"2,013,007",0.3945,
EICLIO,31 Dec 2022,"Property (Unlisted Property, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",Total,,,"24,443,400",4.7898,
EICLIO,31 Dec 2022,Cash (Cash),NATIONAL AUSTRALIA BANK,,,"15,264,082",2.9911,AUD
EICLIO,31 Dec 2022,Cash (Cash),Total,,,"15,264,082",2.9911,
EICLIO,31 Dec 2022,,Grand Total,,,"510,318,111",100.0000,
